1,メイクアップ,
2,ベースメイク,
3,口紅・グロス・リップライナー,
4,ネイル・ネイルケア,
5,スキンケア・基礎化粧品,
6,ボディケア・オーラルケア,
7,ヘアケア・スタイリング,
8,香水,
9,美容グッズ・美容家電,
10,サプリメント・フード,
11,その他,
12,アイシャドウ,1
13,アイライナー,1
14,マスカラ,1
15,アイブロウ,1
16,チーク,2
17,化粧下地,2
18,コンシーラー,2
19,フェイスパウダー,2
20,ファンデーション,2
21,ハイライト・シェーディング,2
22,口紅,3
23,リップケア・リップクリーム,3
24,リップグロス,3
25,リップライナー,3
26,マニキュア,4
27,ネイル用品,4
28,ネイルトップコート・ベースコート,4
29,ネイルケア,4
30,除光液,4
31,化粧水,5
32,美容液,5
33,フェイスクリーム,5
34,乳液,5
35,クレンジング,5
36,洗顔料,5
37,フェイスオイル,5
38,オールインワン化粧品,5
39,スペシャルケア,5
40,フェイスバーム,5
41,日焼け止め・UVケア,6
42,アウトバスケア,6
43,オーラルケア,6
44,パーツボディケア,6
45,デオドラント・制汗剤,6
46,インバスケア,6
47,シャンプー・コンディショナー,7
48,スペシャルヘアケア,7
49,ヘアパック・トリートメント,7
50,ヘアカラー,7
51,ヘアスタイリング,7
52,メイクアップグッズ,9
53,スキンケアグッズ,9
54,ヘアグッズ,9
55,ボディグッズ,9
56,カラーコンタクトレンズ,9
57,サプリメント,10
58,フード,10
59,美容情報,11
60,ランドリー,11
61,ジェル・クリームアイシャドウ,1/12
62,パウダーアイシャドウ,1/12
63,リキッドアイシャドウ,1/12
64,リキッドアイライナー,1/13
65,ペンシルアイライナー,1/13
66,ジェルアイライナー,1/13
67,マスカラ,1/14
68,マスカラ下地・トップコート,1/14
69,パウダーチーク,2/16
70,ジェル・クリームチーク,2/16
71,プレストパウダー,2/19
72,ルースパウダー,2/19
73,クリーム・エマルジョンファンデーション,2/20
74,その他ファンデーション,2/20
75,パウダーファンデーション,2/20
76,リキッドファンデーション,2/20
77,クッションファンデーション,2/20
78,BBクリーム,2/20
79,CCクリーム,2/20
80,ハイライト,2/21
81,シェーディング,2/21
82,化粧水,5/31
83,ブースター・導入液,5/31
84,ミスト状化粧水,5/31
85,ミルククレンジング,5/35
86,ポイントメイクリムーバー,5/35
87,クレンジングジェル,5/35
88,リキッドクレンジング,5/35
89,オイルクレンジング,5/35
90,クレンジングクリーム,5/35
91,クレンジングバーム,5/35
92,クレンジングシート,5/35
93,洗顔フォーム,5/36
94,その他洗顔料,5/36
95,洗顔パウダー,5/36
96,洗顔石鹸,5/36
97,洗い流すパック・マスク,5/39
98,スクラブ・ゴマージュ,5/39
99,シートマスク・パック,5/39
100,マッサージ料,5/39
101,ピーリング,5/39
102,日焼け止め（顔用）,6/41
103,日焼け止め（ボディ用）,6/41
104,ボディクリーム,6/42
105,ボディローション,6/42
106,ボディマッサージ,6/42
107,ボディオイル,6/42
108,ボディパウダー,6/42
109,ボディミルク,6/42
110,歯磨き粉,6/43
111,マウスウォッシュ・マウススプレー,6/43
112,歯ブラシ・デンタルフロス,6/43
113,その他オーラルケア,6/43
114,ハンドクリーム・ケア,6/44
115,レッグ・フットケア,6/44
116,ネック・デコルテケア,6/44
117,ボディソープ,6/46
118,ボディ石鹸,6/46
119,ボディスクラブ,6/46
120,入浴剤,6/46
121,脱毛・除毛,6/46
122,アウトバストリートメント,7/48
123,頭皮ケア,7/48
124,ヘアスプレー・ヘアミスト,7/51
125,ヘアワックス・クリーム,7/51
126,プレスタイリング・寝癖直し,7/51
127,メイクブラシ,9/52
128,その他化粧小物,9/52
129,バフ・スポンジ,9/52
130,ビューラー,9/52
131,つけまつげ,9/52
132,化粧ポーチ,9/52
133,二重まぶた用アイテム,9/52
134,その他スキンケアグッズ,9/53
135,コットン,9/53
136,あぶらとり紙,9/53
137,スキンケア美容家電,9/53
138,ヘアケアグッズ,9/54
139,ヘアケア美容家電,9/54
140,ボディ・バスグッズ,9/55
141,ボディケア美容家電,9/55
142,美肌サプリメント,10/57
143,健康サプリメント,10/57
144,ボディシェイプサプリメント,10/57
145,ドリンク,10/58
146,食品,10/58
147,書籍,11/59
148,雑誌,11/59
149,香り付き柔軟剤・洗濯洗剤,11/60
150,ファブリックミスト,11/60
151,パウダーアイブロウ,1/15
152,眉マスカラ,1/15
153,アイブロウペンシル,1/15
154,その他アイブロウ,1/15
155,リキッドアイブロウ,1/15
156,ヘアムース,7/51
157,ヘアジェル,7/51
158,その他スタイリング,7/51
